G286.191+00.173 C 286.191   0.174  153   2590.385  2404.212  2823.224  2.4 0.1 0 TP/Kin(mol)
G286.362-00.297 K 286.362  -0.296  131   2479.768  2306.249  2680.763  2.4 0.1 0 visible/Kin
G286.468-00.358 C 286.468  -0.358  314   2328.723  2192.270  2482.862                        
G287.025-00.321 C 287.025  -0.321  135   3263.163  3005.412  3590.321  2.5 0.1 0 TP/Kin(mol)
G287.247+00.355 K 287.247   0.355  333   2448.482  2278.504  2645.128  2.5 0.1 0 TP/Kin(Mol)
G287.814-00.817 K 287.814  -0.817   80   2615.034  2387.468  2889.082  2.6 0.1 0 TP/Kin
G288.463+00.966 Q 288.463   0.967   99   3352.656  2907.352  3947.750                        
G289.226-00.395 C 289.226  -0.394   82   6657.145  5914.981  7593.853                        
G289.470-00.928 K 289.470  -0.927   88   4301.115  3664.912  5179.778  7.6 1.2 0 OG/Kin
G289.505+00.127 C 289.505   0.128  155   2483.708  2380.886  2603.365                        
G290.323-02.984 K 290.323  -2.983  108   4294.610  4041.911  4633.129  2.9 0.1 0 visible/Kin
G290.353-02.832 Q 290.353  -2.832   74   2979.230  2786.328  3200.134                        
G291.214-00.246 K 291.214  -0.245  245   4564.374  3063.043  7133.268  7.4 1.2 0 OG/Kin
G291.357-00.417 Q 291.357  -0.417   63   2563.894  2366.761  2795.850                        
G292.419-01.012 Q 292.419  -1.012  171   3799.775  3587.409  4053.828                        
G294.281-01.935 C 294.281  -1.935  200   3130.144  2754.666  3618.615                        
G295.735+00.387 Q 295.735   0.388   95   3656.953  3247.839  4177.456                        
G298.414+00.692 C 298.414   0.693  190   3284.414  2980.141  3655.092                        
G302.805+01.287 K 302.805   1.287  197   1608.989  1537.425  1687.397  3.1 0.1 0 visible/Kin
G306.663+00.472 C 306.663   0.473  273   3850.446  3425.307  4389.130                        
G307.543+00.786 Q 307.543   0.787   39   3879.830  3584.212  4226.627                        
G307.862+00.043 C 307.862   0.043  134   3817.253  3381.368  4374.317                        
G308.614+00.876 C 308.614   0.876  386   3685.147  3326.820  4125.748                        
G309.297-00.409 C 309.297  -0.409  608   2797.744  2291.273  3561.775                        
G310.630-00.421 K 310.630  -0.421  111   3128.129  2948.762  3330.125  2.  0.7 0 visible/Kin
G310.766-00.403 G 310.766  -0.402   39   3394.680  3062.766  3803.593                        
G314.707-00.570 Q 314.707  -0.569  261   2996.100  2749.890  3289.045                        
G320.859-00.421 C 320.859  -0.420  183   2954.777  2497.813  3600.076                        
G326.376+00.701 Q 326.376   0.701   45   2406.430  2282.784  2543.917                        
G326.564+00.378 C 326.564   0.378  154   2563.112  2321.049  2859.547                        
G326.721+00.773 K 326.721   0.773  182   2677.637  2354.596  3098.263  2.6 0.5 0 visible/Kin
G327.237-00.468 Q 327.237  -0.468   40   2068.761  1919.517  2242.528                        
G327.555-00.829 K 327.555  -0.829  336   2514.289  2290.192  2819.013  2.7 0.4 0 visible/Kin
G327.878-00.727 C 327.878  -0.727  130   3081.011  2817.620  3396.846                        
G328.193-00.479 C 328.193  -0.479  142   2360.098  2129.851  2644.244                        
G328.871+00.511 Q 328.871   0.511   85   2396.196  2267.179  2540.422                        
G332.369+00.584 C 332.369   0.584   80   2026.047  1839.928  2252.768                        
G336.295-01.341 C 336.296  -1.340  119   1198.701  1145.600  1256.861                        
G336.317-01.223 C 336.317  -1.222  370   1265.341  1222.375  1314.098                        
G339.134-00.377 K 339.134  -0.377  257   3283.777  2775.646  3998.870  3.  0.4 0 H2CO/Kin
G339.494-01.308 C 339.494  -1.307  648   1756.937  1560.521  2008.102                        
G340.226-00.103 C 340.226  -0.102   77   2833.449  2636.553  3061.214                        
G340.872-01.915 Q 340.872  -1.915  277   1064.889  1030.311  1101.823                        
G343.352-00.081 K 343.352  -0.080   56   1634.100  1497.086  1798.019                        
G345.372+01.024 G 345.372   1.024  132   1639.773  1530.703  1765.195                        
G345.372+01.060 G 345.372   1.061   90   1284.395  1200.683  1380.389                        
G345.391+01.398 K 345.391   1.399  144   1768.693  1634.488  1950.688                        
G345.540+01.498 G 345.540   1.498   88   1445.982  1351.159  1554.804                        
G348.068+00.164 Q 348.068   0.164   26   1648.603  1518.951  1801.863                        
